제목,줄거리
종말이 찾아왔다,"《종말이 찾아왔다》는 좀비 아포칼립스가 발생한 세계에서, 서로 다른 배경을 가진 두 주인공이 생존을 위해 협력하는 이야기를 그립니다. 주인공 정민준은 왕따 소년으로, 가난한 집안에서 자라난 그는 평범한 일상을 보내고 있었으나, 좀비가 세상을 뒤덮으면서 삶이 급변하게 됩니다. 그가 살아남기 위해 싸워야 할 상대는 사람보다 더 위험한 괴물 같은 존재들입니다. 한편, 한예나는 금수저 집안에서 자란 인기 있는 여학생으로, 좀비 사태가 일어난 후에도 여전히 주변에서 우위를 점하려 하지만, 혼자서 살아남기엔 너무나 위험한 상황에 처하게 됩니다. 두 사람은 처음에는 서로를 신뢰하지 않지만, 서로의 생존을 위해 힘을 합치기로 결심합니다. 이들은 각자 가진 능력과 특성을 활용하며 위험을 피해가고, 여러 난관을 극복하는 과정을 그립니다. 서로 다른 성격과 환경에서 자라난 두 사람은 위기의 순간마다 갈등을 겪지만, 점차 서로를 의지하고 협력하게 됩니다. 이 웹툰은 생존을 위한 치열한 싸움뿐만 아니라, 인간성과 감정을 다루며 독자들에게 큰 몰입감을 선사합니다."
운명을 보는 회사원,"운명을 보는 회사원은 주인공 최영훈이 어린 시절부터 무당이 될 팔자를 타고났으나, 이를 피하고 평범한 회사원이 되기로 결심하는 이야기입니다. 그는 관상과 사주를 통해 사람들의 운명을 꿰뚫어볼 수 있는 능력을 가지게 되며, 이를 통해 회사 내 여러 사건들을 해결하는 동시에 자신의 능력에 대한 갈등을 겪습니다. 7살 때부터 불운한 운명에 시달려온 최영훈은 어린 시절 절에서 20년을 수행하며 자신만의 길을 찾으려 했고, 결국 회사에서 직장인으로서 안정적인 삶을 이어갑니다. 그러나 그의 특별한 능력은 종종 회사 생활과 충돌하게 되며, 그로 인해 그는 여러 갈등과 문제에 직면하게 됩니다. 이 작품은 현실적인 직장 생활을 배경으로, 판타지적 요소를 더한 이야기로 주인공의 내적 성장과 갈등을 그립니다."
별을 품은 소드마스터,"별을 품은 소드마스터는 슬럼가에서 살아가는 부랑아 블라드가 검은 벼락을 맞은 후 알 수 없는 목소리를 듣게 되면서 시작되는 성장 이야기입니다. 벼락을 맞은 후, 블라드는 한 기사를 돕게 되는데 그는 자신의 아버지같은 사람이 기사에게 죽는것을 목격하게된다. 그때 알 수 없는 목소리가 그를 도망가게 도와주고, 그는 강해지기 위해 끊임없이 노력하며, 여러 역경을 헤쳐 나가며 성장합니다. 이 과정에서 블라드는 다양한 인물들과의 갈등을 겪고, 점차 자신만의 길을 찾아가게 됩니다. 작품은 소년왕도물의 특징을 갖고 있으며, 정의를 향한 주인공의 의지와 성장 과정을 중심으로 전개됩니다. 또한, 검은 벼락과 목소리 등 판타지적 요소들이 이야기에 흥미를 더하며, 주인공이 점점 강해지는 모습을 그려냅니다. 웹소설을 원작으로 하여, 그림체와 내용 모두 좋은 평가를 받으며, 성장물과 기사물의 장르적 요소를 잘 결합한 작품입니다."
쌉초의 난,"쌉초의 난은 주인공 쌉초가 엉뚱하고 예측 불가능한 성격으로 일상 속 소소한 사건들을 유쾌하게 풀어내는 일상 웹툰입니다. 쌉초는 평범한 일상에서 웃음과 재미를 찾아가며, 그의 엉뚱한 행동과 생각들이 독자들에게 큰 웃음을 선사합니다. 특히 첫 화에서는 브라질리언 왁싱을 시도하는 장면이 화제가 되며, 쌉초 특유의 개성과 유머가 돋보입니다. 이 웹툰은 독자들에게 일상에서 느낄 수 있는 공감과 웃음을 동시에 전달하며, 쌉초만의 매력으로 많은 사랑을 받고 있습니다."
일렉시드,"일렉시드는 고양이로 변신하는 각성자 카이든과 자신의 능력을 숨기고 평범하게 살아가는 고등학생 지우가 주인공인 액션 판타지 웹툰입니다. 카이든은 고양이로 변신할 수 있는 능력을 가진 무뚝뚝하지만 마음이 따뜻한 인물로, 지우는 자신의 각성 능력을 숨기며 평범한 삶을 이어가려고 노력하는 소년입니다. 이 둘은 다양한 사건에 휘말리며 각성자들의 세계를 탐험하게 되고, 그 과정에서 여러 에피소드를 겪습니다. 주요 에피소드로는 델레인 박사와의 갈등, 신화와 관련된 사건, 크라인 형제와의 대립, 그리고 한국 각성자 협회와의 복잡한 관계가 중심 이야기를 이룹니다. 웹툰은 속도감 있는 액션과 함께 각성자들 간의 인간관계, 갈등, 우정 등이 중요한 테마로 전개됩니다. 카이든과 지우는 각기 다른 성격과 능력을 지니고 있지만, 함께 사건을 해결하며 성장하고 서로의 존재를 받아들이게 됩니다. 이들은 각성자 세계의 비밀과 그들만의 운명을 알아가며, 갈등과 우정을 통해 자신들의 능력을 진정으로 이해하게 됩니다."
사천당가의 검신급 소가주,"웹툰 ""사천당가의 검신급 소가주가 되었다""는 전생에 검신이었던 당연명이 사천당가에서 소가주로 환생하여 평범한 삶을 추구하는 이야기입니다. 전생의 기억을 가진 당연명은 검술 실력을 숨기려 하지만, 그의 능력과 과거가 여러 방해 세력에 의해 드러날 위기에 처합니다. 당연명은 전생의 고통과 번뇌에서 벗어나 평범하게 살고 싶지만, 끊임없이 무림의 사건들과 얽히게 되며 위기와 갈등을 겪습니다. 또한, 몰락한 사천당가를 다시 일으켜 세워야 하는 책임을 짊어지고 있으며, 그가 숨기고 싶은 검술 실력은 점차 드러날 수밖에 없는 상황에 놓입니다."
캐슬2: 만인지상,"웹툰 캐슬2: 만인지상은 시즌 1 캐슬: 난공불락의 후속작으로, 시즌 1에서 벌어진 사건 이후의 이야기를 다룹니다. 김신은 시즌 1에서 살아남은 동료들과 함께 새로운 배후 세력과 맞서 싸우게 됩니다. 시즌 2에서는 시즌 1의 사건들이 일으킨 여파와 함께, 김신을 위협하는 더욱 강력하고 어두운 세력들이 등장합니다. 이 과정에서 기존 인물들과의 관계는 더욱 복잡해지고, 새로운 인물들이 등장하여 긴장감 넘치는 스토리를 이끕니다. 또한, 시즌 1에서 다루어졌던 세계관은 한층 확장되며, 독자들은 캐슬 세계의 숨겨진 진실을 알게 됩니다. 결말 부분에서는 모든 갈등의 배후에 있는 인물이 밝혀지고, 김신은 마지막 대결을 준비합니다."
백XX,"웹툰 백XX는 정보사 요원 백이수와 범죄 조직 보스인 쌍둥이 형 백도경의 이야기를 다룹니다. 백이수는 조직에 배신당하고 형인 백도경은 그 사건에서 목숨을 잃습니다. 동생인 백이수는 형의 죽음을 복수하기 위해 조직에 잠입하고, 그의 신분을 숨기며 점차 조직 내에서 권력을 쥐게 됩니다. 백이수는 형의 죽음과 조직의 비밀을 밝혀내기 위해 고군분투하며, 조직의 흑막과 그 배후에 숨겨진 진실을 하나씩 드러냅니다. 이 과정에서 형제애와 배신, 복수라는 감정이 얽히며 드라마틱한 전개가 이어집니다. 형의 죽음 이후, 백이수는 조직을 장악하면서 복수와 정의를 실현하려는 이야기가 펼쳐집니다."
천마는 조용히 살고싶다,"무림의 절대자이자 공포의 대상이었던 천마. 그는 수십 년간 천하를 피로 물들이며 무림을 장악했지만, 결국 수많은 정파 무림인들의 합공에 의해 죽음을 맞이합니다. 그러나 죽음의 문턱에서 기적처럼 '증혼마공'이라는 비법을 터득하게 되고, 이를 통해 다른 이의 혼백을 탐하여 다시 살아날 수 있는 방법을 깨닫습니다. 그리고 그는 이미 죽을 날만 기다리고 있던, 몸 약하고 존재감 없는 공자 벽태산의 몸으로 빙의하여 새로운 삶을 시작하게 됩니다. 천마는 이전의 피비린내 나는 삶에 염증을 느끼고, 이번 생에서는 평범하고 조용한 삶을 살기로 다짐합니다. 하지만 그의 몸을 차지한 벽태산의 가문은 몰락 직전의 위기에 처해 있었고, 심지어 그는 병약한 몸 때문에 곧 죽을 운명에 처해 있었습니다. 천마는 살아남기 위해, 그리고 평화로운 삶을 유지하기 위해 어쩔 수 없이 자신의 뛰어난 지략과 무공을 다시 사용하게 됩니다. 가장 시급한 문제는 벽태산의 병을 고치는 것이었습니다. 그는 자신의 병을 치료할 약재를 구하기 위해 기루에 발을 들이게 되는데, 이곳에서 의도치 않게 기루의 주인이자 '야왕'이라는 별명을 가진 여인을 만나게 됩니다. 기루는 단순한 유흥 공간이 아니라, 정보를 거래하고 세력을 키우는 무림의 또 다른 전장이었고, 천마는 이곳에서 자신의 숨겨진 능력과 지혜를 발휘하며 점차 존재감을 드러내기 시작합니다."
육아일기,"아이가 성장하면서 겪는 다양한 에피소드들이 주를 이룹니다. 옹알이, 뒤집기, 기기, 걷기 등 아이의 작은 성장 하나하나에 기뻐하고 감동하는 부모의 모습이 따뜻하게 묘사됩니다. 동시에, 예측 불가능한 아이의 행동 때문에 벌어지는 황당한 상황들, 육아로 인한 부부간의 갈등, 그리고 육아 선배들의 조언과 육아 정보의 홍수 속에서 길을 잃는 모습 등 현실적인 어려움도 놓치지 않고 다룹니다. 웹툰은 단순히 육아의 고충만을 그리는 것이 아니라, 육아를 통해 얻는 행복과 깨달음을 전달합니다. 아이의 웃음 한 번에 피로가 녹아내리고, 잠든 아이의 얼굴을 보며 사랑을 느끼는 순간들이 독자들의 공감을 자아냅니다. 작가는 때로는 과장된 표현과 자조적인 유머를 사용하여 육아의 힘듦을 웃음으로 승화시키며, 많은 부모 독자들에게 ""나만 이런 게 아니었어!""라는 위로와 공감대를 형성해 줍니다. 또한, '육아일기'는 육아 관련 팁이나 정보를 직접적으로 제공하기보다는, 작가 본인의 경험을 통해 자연스럽게 육아의 노하우나 어려움을 공유합니다. 예를 들어, 아이가 특정 시기에 보이는 행동 패턴이나 부모가 겪을 수 있는 감정 변화 등을 에피소드 속에 녹여내어, 비슷한 경험을 하는 독자들이 간접적으로 정보를 얻고 공감할 수 있도록 돕습니다."
나노마신,"마교 내에서도 서열 최하위이자 갖은 멸시와 죽음의 위협을 받던 사생아, 천여운이 주인공입니다. 비참한 삶을 살던 그에게 어느 날 갑자기 미래에서 온 후손이 나타나 몸에 '나노 머신'을 주입합니다. 이로 인해 천여운의 인생은 송두리째 바뀌게 됩니다. 나노 머신의 도움으로 천여운은 무공을 빠르게 익히고, 뛰어난 지략과 냉철함으로 자신을 괴롭히고 모략하는 자들을 하나하나 응징해 나갑니다. 마교 내부의 권력 다툼 속에서 살아남고, 점차 강력한 존재로 거듭나 마교를 넘어 무림 최고의 자리에 오르기 위한 그의 거침없는 이야기가 펼쳐집니다."
마흔 즈음에,"주인공 현성민이 어느덧 마흔 살이 되어 주변을 돌아보니 혼자가 되었다는 현실을 깨닫고, 인생과 직장에서의 위기 속에서 진정한 행복을 찾기 위해 고군분투하는 이야기를 담고 있습니다. ""불혹의 나이, 아직 늦지 않았다!""라는 메시지를 전달하며, 중년 남성의 현실적인 고민과 감정을 공감 있게 풀어내고 있습니다. 이 웹툰은 10~20대 위주였던 웹툰 독자층이 점차 다양해지면서 30대 이상의 독자들에게도 많은 공감을 얻고 있으며, 자조적인 유머 코드가 특징입니다."
별 거 아니겠지,"웹툰 **'별 거 아니겠지'**는 평범한 대학생인 주인공이 어느 날 갑자기 다리 저림 증상을 겪으면서 시작되는 이야기입니다. 처음에는 단순히 피곤하거나 자세가 안 좋아서 생긴 '별 거 아닌' 증상이라고 생각하고 대수롭지 않게 넘겨버립니다. 그러나 시간이 지날수록 다리 저림은 점점 심해지고, 나중에는 걷는 것조차 힘들 정도로 악화됩니다. 더 이상 참을 수 없게 된 주인공은 뒤늦게 병원을 찾게 되고, 그곳에서 의사로부터 예상치 못한 충격적인 진단을 받게 됩니다. 이 진단은 주인공의 평범했던 일상을 송두리째 흔들고, 앞으로의 삶에 대한 깊은 고민과 어려움을 안겨줍니다. 웹툰은 바로 이 진단 이후, 주인공이 질병과 싸우며 겪는 고통, 좌절, 그리고 이를 극복하기 위한 노력의 과정을 현실적이고 섬세하게 그려냅니다. 주인공은 자신의 몸과 마음의 변화를 받아들이고, 새로운 현실 속에서 삶의 의미를 찾아가는 과정을 보여줍니다."
재벌집 막내아들,"윤현우는 수십 년간 순양그룹의 온갖 비리를 처리하며 궂은일을 도맡아 해온 인물이다. 어느 날, 그는 순양가의 비자금을 회수하라는 명령을 받고 해외로 향하지만, 오히려 순양가에 의해 배신당하고 살해당한다. 하지만 눈을 뜬 그는 1987년, 순양그룹 총수 진양철의 막내 손자 진도준의 몸으로 회귀한 자신을 발견한다. 죽임을 당했던 기억과 미래에 대한 모든 지식을 가진 채, 진도준이 된 윤현우는 자신을 죽음으로 몰아넣었던 순양가를 향한 복수를 다짐한다. 진도준은 어린 시절부터 비상한 두뇌와 미래에 대한 예지력을 바탕으로 순양그룹의 핵심 사업들을 미리 예측하고 투자하며 순양가의 인정을 받기 시작한다. 그는 순양가 내부의 권력 다툼과 갈등을 이용하고, 미래의 경제 흐름과 기술 변화를 정확히 파악하여 거대한 부를 축적한다. 특히 외환 위기, IT 버블 등 대한민국의 굵직한 현대사 속 사건들을 활용하여 순양그룹의 지분을 야금야금 늘려나가며 자신의 입지를 다진다.순양그룹의 순탄치 않은 승계 과정 속에서 진도준은 자신을 끊임없이 견제하고 의심하는 다른 순양가 형제들과 끊임없이 대립한다. 특히 순양그룹의 총수이자 자신의 할아버지인 진양철과의 관계는 복잡미묘하다. 진양철은 어린 손자 진도준의 뛰어난 능력과 야망을 알아보면서도, 한편으로는 그를 경계하고 시험하며 순양그룹의 진정한 후계자가 될 자격이 있는지 지켜본다. 이 과정에서 두 사람 사이에는 팽팽한 긴장감과 동시에 서로를 이해하고 존중하는 아이러니한 유대감이 형성되기도 한다."
무사만리행,"'무사만리행'은 고대 한반도의 가상 국가인 고리국의 최고 무사 **'나루'**가 주인공으로 등장합니다. 이야기는 나루가 어릴 적부터 모셨던 소단 공주와 함께 평화로운 고리국에서 지내던 시점에서 시작됩니다. 나루는 소단 공주를 지키는 것을 자신의 삶의 목표이자 유일한 이유로 여기며 살아갑니다. 그러나 어느 날, 나루의 스승이자 믿었던 존재였던 **'아사달'**의 배신으로 고리국은 멸망하고, 소단 공주는 행방불명됩니다. 폐허가 된 고리국에서 나루는 아사달이 소단 공주를 서역 어딘가로 데려갔다는 단서만을 얻게 됩니다. 공주를 찾겠다는 일념 하나로 나루는 미지의 서역으로 향하는 험난한 여정을 시작합니다. 수많은 고난 끝에 나루가 도착한 곳은 바로 로마 제국이었습니다. 하지만 공주의 흔적을 찾기도 전에 나루는 노예상에게 붙잡혀 검투사 노예로 팔려가는 기구한 운명을 맞이하게 됩니다. 강제로 검투 훈련을 받게 된 나루는 콜로세움이라는 피와 죽음의 경기장에서 살아남기 위해 처절한 싸움을 벌여야 합니다."
"송이연 50살, 이혼 한 달 차","주인공 송이연은 어린 시절 부모를 잃고 가정폭력과 빈곤 속에서 자랐으며, 공장 일과 야간학교를 다니며 청춘을 보냈습니다. 결혼 후에는 남편의 외도와 폭력에 시달렸습니다. 이혼의 시작 쉰 살, 남편 박기호가 12살 연하의 김아름과 새로운 삶을 시작하겠다며 일방적으로 이혼을 통보합니다. 송이연에게 남은 것은 변변찮은 자가 한 채와 불안한 아르바이트 생활뿐입니다. 새로운 삶의 모색을 시작합니다, 처음에는 타의에 의한 변화였지만, 이혼을 계기로 송이연은 가부장제라는 억압적 제도에서 벗어나 서서히 자신의 힘으로 새로운 삶을 그려나가기 시작합니다. 그후 할 줄 아는 것도, 하고 싶은 것도 없던 송이연은 중년 연애 시장에 발을 들이게 됩니다. 성장과 갈등을 겪는데 다시 만난 첫사랑, 처음 얻는 쾌락과 진심, 잃어버렸던 청춘을 경험하며, 잇따른 배신과 재혼 문제 등 다양한 갈등 속에서 '엄마로 남을 것인가, 여자로 남을 것인가'라는 질문에 직면하며 '행복해지고 싶어' 인생 처음으로 태풍 속으로 뛰어드는 과정을 그립니다."
한배무사와 지존손녀,"'할배무사와 지존 손녀'는 한때 강호를 호령했으나 이제는 죽음을 목전에 둔 태극문주 유진산이 멸문 위기 속에서 유일하게 살아남은 손녀 유설을 지키기 위해 필사적으로 다시 살아가는 무협 판타지 웹툰입니다. 이야기는 유진산이 늙고 병든 몸으로 죽음을 기다리던 시점에서 시작됩니다. 그는 과거의 영광은 뒤로하고 조용히 생을 마감하려 했습니다. 하지만 그의 문파인 태극문에 갑작스러운 멸문지화가 닥쳐오고, 모든 문도와 가족이 무참히 살해당하는 비극을 겪습니다. 이 참혹한 상황 속에서 유진산은 기적적으로 홀로 살아남은 갓난 손녀 유설을 발견합니다. 어린 손녀의 눈망울을 본 순간, 유진산은 죽음을 포기하고 손녀를 지키기 위해 다시 살아가기로 굳게 결심합니다. 유진산은 늙고 약해진 몸을 이끌고 갓난아기인 유설을 돌봅니다. 기저귀를 갈고, 젖을 먹이며, 밤새워 아이를 달래는 고된 육아에 매달리면서도, 동시에 무너진 심신을 회복하고 다시 강해지기 위해 필사적으로 수련을 시작합니다. 그는 과거의 무공을 다시 익히고 새로운 경지를 개척하기 위해 극한의 노력을 기울입니다. 그런데 유진산이 놀란 것은 바로 손녀 유설의 비범함이었습니다. 유설은 평범한 아기가 아니었습니다. 그녀는 태어날 때부터 **무림 지존의 기재(奇才)**를 타고난 존재였습니다. 할배가 수련하는 모습을 옆에서 지켜보는 것만으로도 무공을 빠르게 습득하고, 보통의 무인들이 평생을 바쳐도 도달하기 어려운 경지를 놀라울 정도로 짧은 시간에 초월합니다. 말 그대로 무림 역사상 전례 없는 천재적인 성장을 보여주는 것이죠. 유설은 단순히 강해지는 것을 넘어, 위기에 처한 할배를 역으로 지켜주는 존재로 성장합니다. 할배가 늙은 몸으로 무림의 음모와 위험에 맞서 싸울 때마다, 유설은 상상을 초월하는 무공으로 적들을 압도하며 할배의 든든한 방패이자 칼이 되어줍니다."
풍작이에요 마왕님,"주인공은 잠에서 깨어나 보니 마왕성에 도착해 있습니다. 그리고 곧 자신이 게임 속 마왕 '테루스'가 되었다는 사실을 깨닫죠. 문제는 이 테루스가 게임 최종 보스인 만큼, 선택지가 꽤나 절망적이라는 겁니다. 인간계를 침공한다는 설정으로 진행시, 인간계를 침공하면, 자신이 직접 키운 만렙 용사에게 처참하게 죽임을 당하게 됩니다. 침공을 중단하면, 그동안 굶주려 있던 마족 수하들, 특히 사천왕들에게 잡아먹힐 위기에 처합니다. 마족들은 마력으로 살아가지만, 이 세계는 오랫동안 마력이 고갈되어 모두 굶주림에 허덕이고 있었거든요. 이대로는 죽으나 사나 죽는다는 것을 깨달은 주인공은 기지를 발휘합니다. 바로 '농사'를 들이밀기로 결심하죠! 주인공은 마족들에게 ""이제 더 이상 피폐한 인간계를 약탈하지 않고, 우리 힘으로 풍요를 일구어내겠다!""는 명목으로 농사를 제안합니다. 물론 처음에는 마족들의 반발이 심했습니다. 마족이 감히 흙을 만지며 농사를 짓다니! 하지만 굶주림에 지쳐있던 마족들은 결국 마왕의 말에 따르기로 하죠. 그렇게 마왕 '테루스'는 죽지 않고 살아남기 위해, 그리고 배고픈 마족들을 먹여 살리기 위해 마왕성을 밭으로 개간하고 본격적인 농사를 시작합니다. 게임 속 지식과 현실적인 감각을 총동원하여 농사에 매진하는데, 이 과정에서 다양한 고난과 역경을 겪게 됩니다. 과연 마왕 테루스는 무사히 농사를 성공시켜 마족들을 배불리 먹이고 자신의 목숨도 부지할 수 있을까요? 그리고 언젠가 등장할 만렙 용사와의 만남은 어떻게 될까요? 농사라는 독특한 소재와 게임 빙의물의 재미가 결합된 유쾌한 스토리가 펼쳐집니다."
게임속 바바리안으로 살아남기,"웹툰 '게임 속 바바리안으로 살아남기'는 인디 게임 《던전 앤 스톤》을 플레이하던 주인공이 게임 속 바바리안 캐릭터 '비요른'의 몸에 빙의되어 미궁을 탐사하는 이야기입니다. 주인공은 원래 현실 세계에서 게임을 즐기던 평범한 인물로, 게임을 클리어하기 위해 여러 번 시도했지만 2D 게임으로도 어려운 미궁을 넘는 것은 쉬운 일이 아니었습니다. 그러나 어느 날, 갑자기 게임 속 세계로 빨려 들어가 바바리안 '비요른'의 몸에 빙의된 주인공은 이제 게임 속 세상에서 살아남아야 하는 상황에 놓입니다. 게임 속 세계는 현실처럼 생동감 넘치고 위험으로 가득 차 있으며, 주인공은 자신이 빙의된 바바리안 캐릭터를 통해 미궁을 탐사하며 살아남아야 합니다. 그러나 2D 게임에서는 단순한 컨트롤로 해결되던 것들이 이제는 현실에서 직접 겪어야 할 어려움으로 다가옵니다. 미궁 속의 몬스터들과 함정, 그리고 점점 더 복잡해지는 상황 속에서 주인공은 끊임없이 고군분투하며, 게임 속 세상에서 살아남는 방법을 찾아가야 합니다."
광마회귀,"광마 주인공 이자하가 미친 사내로 변하기 전의 평범했던 시절로 돌아가는 이야기입니다. 이자하는 한때 평범한 인물로 살았지만, 다양한 사건과 갈등 속에서 점차 광마(狂魔)로 변해가고, 결국 미친 사내가 되어버립니다. 그러나 어느 날, 시간이 되돌려져 과거로 돌아가게 되며, 그는 점소이(점차 소름끼치게 미쳐가는) 시절로 회귀하게 됩니다. 이자하는 과거로 돌아가면서 자신의 미쳐버린 길을 다시 걷게 될 것인지, 아니면 처음부터 다른 결정을 내려 모든 것을 바꿀 수 있을지에 대한 갈림길에 서게 됩니다. 그는 자신의 광기에 이끌려 다시 미칠지, 아니면 과거의 자신을 살리려 할지를 선택해야 합니다. 하지만 과거로 돌아온 이자하를 둘러싼 적들의 존재도 큰 위협으로 다가옵니다. 그의 적들은 여전히 그를 미치게 만들려 하며, 이자하의 결정을 방해하려 합니다."
역대급 영지 설계사,"'역대급 영지 설계사'는 대한민국 최고의 토목공학도 김수호가 자신이 읽던 판타지 소설 속으로 빙의하면서 벌어지는 이야기를 다룹니다. 그가 빙의한 인물은 바로 망해가는 '프론테라 남작가'의 한량 아들, 로이드 프론테라였습니다. 로이드는 본래 소설에서 비참한 최후를 맞이할 예정인 조연이었죠. 눈을 뜨자마자 펼쳐진 광경은 참담했습니다. 영지는 황무지나 다름없고, 저택은 금방이라도 무너질 듯하며, 영지민들은 굶주림에 허덕이고 있었습니다. 심지어 영지에는 갚아야 할 막대한 빚까지 산더미처럼 쌓여 있었죠. 소설 속에서 아무런 활약도 없이 퇴장했던 로이드의 운명을 바꾸기 위해, 김수호는 자신의 특기를 살려 토목 공학 지식을 총동원하기 시작합니다. 그는 가장 먼저 영지의 생존에 필수적인 물 문제 해결에 나섭니다. 지질을 파악하고 수로를 설계하며 물을 효율적으로 끌어오는 기상천외한 방법들을 제시하죠. 이어 척박한 땅을 경작지로 바꾸고, 무너져가는 건물들을 보수하며, 비위생적인 환경을 개선하기 위한 하수도 시스템까지 구축합니다. 이 과정에서 로이드는 주변 사람들의 의심과 비웃음에도 아랑곳하지 않고, 오직 '영지 부흥'이라는 목표만을 향해 나아갑니다."
외모지상주의,"주인공 박형석은 외모 때문에 학교에서 따돌림과 괴롭힘에 시달리는 고등학생입니다. 뚱뚱하고 못생긴 외모 탓에 늘 폭력에 노출되고, 집에서도 부모님의 기대를 저버렸다는 죄책감에 시달리죠. 극심한 스트레스 속에서 그는 평소 동경하던 '아름다운 외모'를 가진 새로운 삶을 꿈꿉니다. 그러던 어느 날, 잠에서 깨어난 형석은 거울 속에 비친 완벽하게 잘생기고 멋진 자신의 모습에 경악합니다. 동시에 원래의 뚱뚱한 몸도 함께 존재하는 것을 발견하죠. 그는 낮에는 완벽한 '새로운 몸'으로 학교에 가서 이지훈이라는 가명으로 생활하고, 밤에는 원래의 '뚱뚱한 몸'으로 돌아와 편의점 아르바이트를 하며 이중생활을 시작합니다. 새로운 몸으로 학교에 간 형석은 난생 처음 경험하는 사람들의 친절과 관심에 놀랍니다. 이전과는 180도 달라진 대우를 받으며 외모가 사회에서 얼마나 큰 영향을 미치는지 깨닫게 되죠. 이 과정에서 그는 다양한 친구들을 만나고, 자신의 외모에 따라 변하는 사람들의 태도에 혼란과 성장을 겪습니다. 특히, 자신을 뚱뚱한 몸으로도 따뜻하게 대해주는 친구들을 통해 진정한 우정의 가치를 알아갑니다."
나 혼자 만렙 뉴비,"가상 현실 게임 '시련의 탑'이 현실이 되어버린 세상에서, 유일하게 탑을 클리어했던 주인공 강진혁이 과거의 지식을 바탕으로 다시 한번 탑을 공략하며 벌어지는 이야기입니다. 강진혁은 평범한 직장인이었지만, 전 세계인들이 열광하던 가상 현실 게임 '시련의 탑'에서 남몰래 노력하여 최초이자 유일한 클리어러가 됩니다. 그는 탑의 모든 층을 공략하고, 모든 보스를 쓰러뜨리며, 모든 숨겨진 요소를 파악했습니다. 하지만 탑 클리어와 동시에 게임은 서비스 종료되고, 강진혁의 노력은 그저 허무한 기억으로 남는 듯했습니다. 그러나 어느 날 갑자기, '시련의 탑'은 현실이 되어 나타납니다. 하늘에는 거대한 탑이 솟아나고, 몬스터들이 출몰하며, 사람들은 탑에 들어가야만 살아남을 수 있는 상황에 직면합니다. 혼란과 절망 속에서 사람들은 탑을 공략하기 위해 고군분투하지만, 게임을 해본 적 없는 이들에게 탑은 미지의 공포 그 자체입니다. 이때, 강진혁은 자신이 '시련의 탑'의 모든 것을 알고 있는 유일한 존재임을 깨닫습니다. 그는 탑의 구조, 몬스터의 약점, 아이템의 위치, 심지어 숨겨진 퀘스트와 보스 패턴까지 모든 정보를 꿰뚫고 있습니다. 이 압도적인 지식은 그를 평범한 '뉴비'가 아닌, 만렙의 경험치를 가진 '만렙 뉴비'로 만듭니다. 강진혁은 혼자서 탑을 오르기 시작합니다. 그는 일반적인 플레이어들이 상상조차 할 수 없는 방식으로 탑을 공략하며, 손쉽게 몬스터를 제압하고 희귀 아이템을 얻습니다. 그의 압도적인 성장 속도는 주변 사람들에게 경이로움과 동시에 질투를 불러일으키기도 합니다. 하지만 강진혁은 오직 탑을 오르는 것에만 집중하며, 때로는 다른 플레이어들을 돕기도 하고, 때로는 그들의 방해를 받기도 합니다. 점점 더 강해지는 강진혁은 탑의 비밀에 한 발짝씩 다가서며, '시련의 탑'이 현실이 된 이유와 그 배후에 숨겨진 거대한 음모를 파헤치기 시작합니다. 과거의 경험과 현재의 지식을 바탕으로, 강진혁은 탑을 다시 한번 정복하고 현실 세계를 구원하기 위한 고독한 싸움을 이어갑니다. 그의 모험은 단순한 게임 공략을 넘어선, 인류의 운명을 건 싸움으로 발전합니다."
상남자,"주인공 한유현은 오직 성공만을 바라보며 기업의 최고 경영자(CEO) 자리까지 오릅니다. 하지만 그 과정에서 사랑하는 모든 것을 잃게 되고, 뒤늦은 후회와 함께 자신의 삶을 돌아보게 됩니다. 그러던 어느 날, 그는 모든 기억을 간직한 채 신입사원 시절로 회귀하게 됩니다. 한유현은 과거의 지식과 경험을 바탕으로, 예전과는 전혀 다른 방식으로 자신의 삶을 다시 설계하기 시작합니다. 그는 단순히 성공만을 쫓았던 과거와 달리, 이번에는 주변 사람들과 함께 성장하고, 소중한 것들을 지키기 위해 노력합니다. 미래의 정보를 활용해 위기를 기회로 바꾸고, 회사 내의 문제들을 해결하며, 진정한 '상남자'로서의 면모를 보여줍니다."
