제목,줄거리
재혼황후,"'재혼 황후'는 동대제국의 완벽한 황후였던 '나비에'의 이야기를 다룹니다. 나비에는 황후로서의 모든 책무를 완벽하게 수행하며 황실과 백성들의 존경을 한 몸에 받던 인물이었습니다. 하지만 그녀의 남편이자 동대제국의 황제인 **'소비에슈'**는 어느 날 우연히 주워온 노예 출신의 '라스타'에게 빠져들게 됩니다. 소비에슈는 라스타에게 점점 더 집착하며 그녀를 궁 안에 들이고, 나중에는 라스타를 황후로 만들려는 생각까지 하게 됩니다. 소비에슈의 변심과 라스타의 도발 속에서 나비에는 황후로서의 품위를 잃지 않으려 노력하지만, 결국 남편으로부터 이혼 통보를 받게 됩니다. 모두가 충격에 빠진 가운데, 나비에는 소비에슈의 이혼 통보를 받아들이는 대신 충격적인 선언을 합니다. 바로 ""이곳에서 황후가 될 수 없다면, 다른 곳에서 황후가 되겠습니다!""라며 옆 나라 서대제국의 황제 '하인리'와 재혼을 하겠다고 선언하는 것이죠. 웹툰은 이처럼 자신을 버린 남편과 정부에게 통쾌하게 복수하고, 새로운 인연을 통해 진정한 사랑과 행복을 찾아가는 나비에의 이야기입니다."
재입대만 7번째,"주인공은 평범한 대한민국의 예비역입니다. 하지만 어느 날 갑자기 알 수 없는 이유로 군대에 다시 입대하는 경험을 반복하게 됩니다. 단순히 회귀하는 것을 넘어, 매번 다른 시기와 상황, 심지어 다른 병과나 부대에서 군 복무를 하게 되죠. 이러한 반복된 재입대 과정에서 주인공은 점차 군대의 생리에 통달하게 되고, 미래에 대한 정보를 얻게 되며, 비범한 능력들을 습득하게 됩니다. 초반에는 강제로 재입대하는 상황에 좌절하고 분노하지만, 점차 그 상황을 받아들이고 이 반복되는 군 생활을 통해 무언가 특별한 목적이 있음을 깨닫게 됩니다. 그는 자신의 반복된 군 생활을 통해 얻은 지식과 경험, 그리고 특수 능력들을 활용하여 자신과 주변 사람들의 삶을 변화시키고, 거대한 비밀에 다가서게 됩니다."
아카데미에서 살아남기,"주인공은 자신이 즐겨 하던 게임 속 세상, 그것도 삼류 엑스트라 악역 '에드 로스테일러'의 몸에 빙의하게 됩니다. 이 에드라는 캐릭터는 게임 스토리상 이미 몰락하여 퇴장한 인물이며, 그야말로 존재감 없는 '낙제생'입니다. 주인공은 이러한 상황에서 특별한 야망 없이 그저 조용히 살아남아 무사히 아카데미를 졸업하는 것을 목표로 합니다. 하지만 세상은 주인공을 가만두지 않습니다. 게임 속에서 벌어졌던 사건들이 현실에서도 그대로 재현되려 하고, 주인공은 자신이 알고 있는 미래의 정보를 활용하여 살아남기 위해 고군분투합니다. 그는 주인공이 할 수 없는, 삼류 악역의 방식으로 사건에 개입하고, 위험을 피하며, 때로는 예상치 못한 방식으로 상황을 유리하게 이끌어갑니다. 이 과정에서 본의 아니게 주변 인물들과 얽히고, 점차 이야기의 중심 인물이 되어갑니다."
천하제일 대사형,"주인공 '백무진'은 무림에서 인정받는 젊은 고수였습니다. 하지만 그는 과거에 큰 실책을 저질러 문파를 멸망의 위기에 빠뜨리고, 자신 또한 죽음을 맞이합니다. 죽음의 문턱에서 그는 후회와 함께 모든 것을 되돌리고 싶다는 강렬한 열망을 느낍니다. 그리고 기적처럼, 백무진은 가장 찬란했던 시절, 즉 자신의 문파가 아직 건재하고 동생들이 어렸을 때로 회귀하게 됩니다. 이른바 '대사형' 시절로 돌아온 것입니다. 그는 과거의 실수를 반복하지 않기 위해, 그리고 자신의 문파를 천하제일의 문파로 만들기 위해 고군분투합니다. 백무진은 미래의 지식과 자신의 무공을 바탕으로, 어린 동생들을 올바르게 지도하고, 문파의 위기를 미리 예측하여 대비하며, 숨겨진 기연을 찾아 강력한 무공을 익힙니다. 그는 자신의 동생들을 강력한 고수로 키워내고, 자신 또한 진정한 '천하제일 대사형'으로서 문파와 무림의 운명을 바꿔나가려고 합니다."
A.I.닥터,"태화 그룹이 개발한 진단 목적 A.I. '바루다'를 견학하던 내과 레지던트 1년 차 이수혁은 원인 모를 폭발에 휘말려 의식을 잃습니다. 깨어보니 그의 머릿속에 '바루다'가 존재하게 되고, 둘은 분리할 수 없는 사이가 됩니다. 딥러닝을 통해 세계 최고의 진단 인공지능이 되려는 바루다와 어려운 환경에서 출세를 위해 노력해 온 이수혁이 의기투합하여 환자들을 치료하고 세계 최고의 내과 의사를 목표로 활동하는 의학 버디 드라마입니다."
호랑이형님,"평범한 인간 소년 빠르가 영물인 아기 호랑이 무케를 돌보며 살아가는 이야기로 시작됩니다. 빠르는 강한 힘을 지닌 무케를 보호하며 여러 사건에 휘말리게 되죠. 이 과정에서 이들의 삶을 위협하는 강력한 반인반수 흰눈썹이 등장합니다. 중심 갈등의 시작은 흰눈썹의 신비한 힘을 가진 아이, 즉 '흰머리 아이'를 이용하여 세상을 지배하려 합니다. 무케와 빠르는 얼떨결에 이 흰머리 아이의 보호자가 되어 흰눈썹의 야망을 막으려 합니다. 이 과정에서 흰산의 주인인 범, 산군과 그의 오랜 숙적이자 강력한 영물인 추이가 등장하며 이야기는 더욱 복잡해집니다. 산군과 추이는 각자의 목적과 과거의 인연으로 얽혀 있으며, 이들의 대립은 1부의 핵심을 이룹니다. 흰머리 아이와 산군, 그리고 흰눈썹의 과거가 서서히 드러나며 흰산과 관련된 거대한 비밀이 밝혀집니다. 이는 '아린', '압카' 등 흰산의 힘과 관련된 존재들로 이어지죠. 후반에는 산군과 흰눈썹, 그리고 추이를 비롯한 여러 세력들의 거대한 전투가 벌어집니다. 일부 캐릭터에게는 치명적인 결과를 가져옵니다."
초인의 시대,"2015년부터 세계 각지에서 이인종이라는 괴물들이 나타나기 시작합니다. 이들은 인간과는 다른 존재라는 의미로 '이인종(異人種)'이라 불리며, 예측 불가능한 공격으로 인류에게 막대한 피해와 공포를 안겨줍니다. 절망적인 상황 속에서, 이인종과 정면으로 대적할 수 있는 특별한 능력을 가진 인간들, 즉 '초인'이 나타납니다. 초인들은 몸속에 흐르는 고유한 '향'이라는 마나를 통해 능력을 발현하고 신체를 강화하며 이인종에 맞서 싸웁니다. 이 이야기의 중심에는 한국에 거주하는 고등학생이자 강력한 초인인 '임강'이 있습니다. 그는 이인종과의 싸움 속에서 자신의 정체를 드러내야 하는 딜레마에 빠지기도 합니다. 임강은 이인종으로부터 인류를 지키기 위해 고군분투하며, 초인으로서의 책임감과 인간적인 고뇌를 동시에 겪습니다. 이인종의 위협이 심화되자 전 세계의 초인들이 움직이기 시작합니다. 한국의 임강 외에도 세인트 펄, 겔런 위드로, 맷 디온(미국), 막심 바실로프(러시아), 제인 소나타, 수이(영국) 등 각기 다른 능력과 개성을 가진 초인들이 등장하여 협력하거나 갈등하기도 합니다. 이들은 단순히 괴물을 물리치는 것을 넘어, 초인으로서의 삶과 인류와의 관계에 대한 질문을 던지기도 합니다."
마도전생기,"정파 무림의 비밀 병기이자 최강 살수였던 천하진은 어릴 적부터 의천맹에 의해 길러지며 '살수'로서의 삶을 강요받습니다. 그는 맹주로부터 온갖 더러운 임무를 처리하며 정파의 평화를 유지하는 데 기여했지만, 그 대가로 자유 없는 고통스러운 삶을 살아왔습니다. 결국 천하진은 이 모든 굴레에서 벗어나 진정한 자유를 얻기 위해 의천맹을 탈출하려 시도합니다. 그러나 그는 맹주의 계략에 빠져 죽음을 맞이하게 됩니다. 눈을 뜬 천하진은 자신이 전혀 다른 몸으로 전생했음을 깨닫습니다. 그가 전생한 몸은 바로 정파 무림 전체의 공공의 적이자, 악명 높은 마교의 삼공자 서량이었습니다. 서량은 마교 내에서도 방탕하고 무능한 인물로 알려져 있었고, 심지어 독에 중독되어 시한부 인생을 살고 있었습니다. 천하진은 혼란에 빠지지만, 동시에 이 새로운 삶을 통해 자신이 원했던 자유를 찾을 기회라고 생각합니다. 그는 서량의 몸으로 살아가면서 전생의 기억과 무공을 활용해 주변 인물들을 놀라게 하고, 마교 내부에서의 입지를 다지기 시작합니다."
절대군림,"적이건이라는 신비로운 청년의 강호 제패기를 다룹니다. 적이건은 평범한 과일 장수의 아들처럼 보이지만, 사실은 왼손에는 군자검, 오른손에는 지옥도를 다루는 엄청난 무공 실력을 가진 인물입니다. 그는 비범한 입담과 뛰어난 재주까지 겸비하고 있죠. 이 웹툰의 핵심 줄거리는 적이건이 ""이 강호, 제가 먹습니다!""라고 외치며 자신만의 문파를 세우고 무림을 변화시키려는 여정을 그립니다. 그는 기존의 고리타분하고 비열하며 냉혹한 강호를, 모두가 행복하고 따뜻한 강호로 바꾸고자 합니다. 이를 위해 전 무림을 상대로 싸워나가게 됩니다. 적이건은 정파의 절대고수인 아버지와 사파의 절대고수인 어머니 사이에서 태어나 온갖 무공을 섭렵한 천재적인 인물로 그려지며, 그의 유쾌하고 신나는 모험이 독자들에게 재미를 선사합니다."
아수라,"'아수라'는 고전 신화를 재해석하여 새로운 세계관을 만들어낸 작품입니다. 이야기는 불사의 비밀을 찾으러 떠났던 이가 오랜 시간이 흐른 뒤 돌아오지 않으면서 시작됩니다. 주인공은 과거 초열지옥에서 최강으로 군림하던 아귀 '아수라'인데, 정체불명의 부처 형상 존재에게 힘을 빼앗기고 이승으로 쫓겨나면서 이야기가 전개됩니다. 이승에서 아수라는 생명의 소중함과 이성을 깨우치며 성장해 나갑니다."
킬러 배드로,"주인공 배드로는 한때 뒷세계에서 전설적인 존재로 군림했던 베테랑 킬러입니다. 그는 자신이 평생을 바쳐 충성했던 조직, 즉 12사도라 불리는 거대한 범죄 조직의 수장인 **'마스터'**에게 갑작스러운 배신을 당해 비참하게 살해당합니다. 하지만 죽음의 문턱에서 배드로는 기적처럼 젊은 시절, 즉 20대 초반의 강력한 육체로 되돌아옵니다. 그는 과거의 압도적인 전투 경험과 지식은 그대로 가지고 있지만, 육체는 전성기의 젊음을 되찾은 상태입니다. 이 회귀를 통해 배드로는 자신을 죽인 마스터와 그를 따르는 12사도 전원에 대한 처절한 복수를 다짐합니다. 복수를 위해 다시 뒷세계로 돌아온 배드로는 예전 자신의 명성과는 완전히 다른, 이름 없는 신참 킬러로 위장하여 마스터와 12사도의 핵심부에 접근하기 시작합니다. 그는 특유의 압도적인 전투력과 냉철한 판단력, 그리고 과거의 기억을 활용하여 12사도의 사도들을 하나씩 제거해 나갑니다. 각 사도들은 자신만의 독특한 능력과 배경을 가지고 있어, 배드로는 그들을 상대하며 치열한 싸움을 벌이고 숨겨진 진실들을 파헤칩니다."
99강화 몽둥이,"주인공 이지우는 약육강식의 가상현실 게임 '크로노 라이프'에서 다른 유저들에게 사기를 당하고 가진 아이템을 빼앗기며 무시당하는 '뉴비'이자 '허접'이었습니다. 복수심에 불타지만 가진 것은 다른 뉴비가 버리고 간 가장 낮은 레벨의 무기인 '나무 몽둥이' 뿐이었죠. 어느 날, 이지우는 자포자기 심정으로 나무 몽둥이를 강화하기 시작하는데, 놀랍게도 단숨에 +99강화에 성공합니다. 일반적으로 강화는 실패 확률이 높고 고레벨로 갈수록 더 어려워지지만, 이지우의 나무 몽둥이는 예외적인 버그 아이템이었던 것으로 보입니다. (나중에 밝혀지길 게임 회수 대상은 아니었다고 합니다.) 99강화로 인해 터무니없이 강력해진 나무 몽둥이를 손에 넣은 이지우는 자신을 무시하고 사기 쳤던 유저들을 찾아가 무자비하게 복수하기 시작합니다."
오늘만 사는 기사,"주인공 엔크리드는 어릴 적 기사가 되겠다는 꿈을 꾸지만, 실제로는 검술 실력이 형편없어 주위의 비웃음을 삽니다. 그럼에도 그는 포기하지 않고 기사가 되기 위해 필사적으로 노력합니다. 그러다 어느 날 전장에서 목이 찔려 죽음을 맞이하지만, '더 노력했더라면...' 하는 미련을 품고 숨을 거둔 순간, 정체 모를 누군가의 저주를 받아 다시 깨어나게 됩니다. 이 저주는 엔크리드가 아무리 노력해도 벽을 넘을 수 없을 것이라는 냉혹한 내용이었고, 그는 매번 죽음을 반복하는 운명에 처하게 됩니다. 하지만 엔크리드는 좌절하지 않고, 죽음의 과정을 복기하며 거기서 살아남기 위해 필요한 것을 끊임없이 배우고 발전해 나갑니다. 수많은 죽음과 반복되는 하루를 통해 엔크리드는 점차 강해지고, 그가 변함에 따라 주변 사람들과 환경 또한 변화하기 시작합니다."
아홉수 우리들,"세 명의 '우리'는 고등학교 때 같은 이름을 가진 것을 계기로 가장 친한 친구가 됩니다. 스물아홉이라는 '아홉수'에 접어들면서, 각자의 삶에서 예상치 못한 시련과 고민에 직면합니다. 연애, 직장, 가족, 미래 등 현실적인 문제들 앞에서 좌절하기도 하고, 때로는 서로에게 기대어 힘든 시간을 이겨냅니다. 웹툰은 이러한 세 '우리'의 일상을 통해 20대 후반, 30대 초반의 여성들이 공감할 만한 현실적인 이야기를 풀어냅니다. 아홉수라는 인생의 고비에서 어떻게든 버텨내고, 자신을 '리셋'하며 새로운 시작을 할 것인가에 대한 질문을 던지며, 궁극적으로는 성장과 자아 발견에 초점을 맞춥니다. 세 '우리'는 서로 다른 상황 속에서도 서로를 이해하고 지지하며, 진정한 우정의 가치를 보여줍니다. 때로는 갈등하고 오해하기도 하지만, 결국에는 서로에게 가장 든든한 존재가 되어주며 각자의 아홉수를 현명하게 극복해 나가는 과정을 따뜻하고 유쾌하게 그려냅니다."
조조 코믹스,"조조코믹스는 에피소드마다 새로운 커플이 등장하여 각기 다른 로맨스를 보여줍니다. 이전 작인 '유미의 세포들'이 유미라는 한 인물을 중심으로 이야기가 진행되었다면, ""조조코믹스""는 여러 인물들의 다채로운 관계와 감정선을 그려냅니다. 작품 제목처럼 주요 등장인물들의 이름에는 '조'가 들어가는 경우가 많습니다. 일상에서 누구나 겪을 법한 상황들을 코믹하게 풀어내면서 독자들의 공감을 얻습니다. 직장 생활의 애환, 미묘한 감정 변화, 인간관계에서 오는 오해와 이해 등 현실적인 요소들을 다룹니다."
입학용병,"어린 시절 비행기 추락 사고의 유일한 생존자입니다. 이 사고로 부모님을 잃고 아무도 모르는 곳에서 용병으로 길러지며 10년 동안 수많은 의뢰를 해결하며 극한의 전투 기술을 습득합니다. 말 그대로 '먼치킨'급의 전투력을 가진 인물입니다. 10년 후, 한국군을 구출하는 임무를 통해 우연한 기회에 고향으로 돌아오게 되고, 죽은 줄 알았던 할아버지와 여동생 '유다연'과 재회합니다. 이후 유이진은 평범한 고등학생으로 위장하여 학교생활을 시작하게 됩니다. 유이진의 여동생 유다연은 공부도 잘하고 예쁜 외모 때문에 학교 일진들의 표적이 되어 심한 학교 폭력을 당하고 있었습니다. 오빠에게 걱정을 끼치지 않기 위해 숨기려 하지만, 용병으로서 뛰어난 직감을 가진 유이진은 이 사실을 단박에 알아챕니다. 유이진은 자신의 과거를 숨긴 채, 여동생을 괴롭히는 일진들을 용병 시절의 실력으로 통쾌하게 응징하며 학교 폭력을 해결해 나갑니다. 이 웹툰의 가장 큰 매력은 주인공 유이진의 압도적인 전투력과 이를 활용한 '사이다' 같은 전개입니다. 전장에서 수많은 생사를 넘나든 프로 용병이 고등학생이 되어 학교 내외의 빌런들을 소탕하는 과정이 시원하게 그려집니다."
기기괴괴2,"옴니버스 미스터리 스릴러 각 에피소드가 독립적인 이야기로 구성되어 있으며, 기묘하고 괴상한 사건들을 통해 공포와 스릴을 선사합니다. 에피소드마다 예측 불가능한 반전과 기발한 상상력이 돋보이는 것이 특징입니다. 단순히 무서운 이야기를 넘어, 인간의 끝없는 욕망, 질투, 복수심, 이기심 등 어두운 면을 기괴한 상황을 통해 비추어 보여줍니다. 평범한 일상 속에서 벌어지는 비현실적인 사건들을 통해 독자들에게 소름 돋는 현실적인 공포감을 안겨줍니다.대표적인 인기 에피소드: 성형수: '기기괴괴' 시리즈의 가장 대표적이고 유명한 에피소드입니다. 외모 콤플렉스가 심한 주인공이 원하는 대로 몸을 조각할 수 있는 신비한 물, '성형수'를 사용하면서 벌어지는 끔찍한 이야기를 다룹니다. 아름다워지려는 욕망이 어디까지 치달을 수 있는지 보여주며 큰 충격을 주었고, 이 에피소드는 장편 애니메이션 영화로도 제작되었습니다.리셋 엘리베이터: 특정 층에서 과거로 돌아갈 수 있는 엘리베이터를 통해 인생을 '리셋'하려는 사람들의 이야기를 그립니다. 잘못된 선택을 되돌리려는 욕망이 또 다른 비극을 낳는 과정을 보여줍니다.귀신 잡기: 귀신이 들린 집을 구매한 가족이 귀신들과 벌이는 사투를 코믹하면서도 오싹하게 그려냅니다."
천화서고 대공자,"이야기는 천화서고의 대공자 '범항'이 삶을 비관하며 자살을 시도하는 장면으로 시작됩니다. 그는 가문으로부터 제대로 된 교육이나 관심을 받지 못하고, 소외된 채 무시당하며 살아온 불운한 인물이었습니다. 하지만 그 순간, 무림 전체를 호령했던 무림맹주 후공의 영혼이 그의 몸에 깃들게 됩니다. 후공의 영혼이 들어오면서 범항은 겉모습은 그대로지만, 내면은 완전히 다른 사람으로 변모합니다. 원래 소심하고 나약했던 범항은 사라지고, 최강의 무림맹주였던 후공의 지식, 경험, 그리고 압도적인 무공 실력이 그의 몸에서 발현되기 시작합니다. 그는 더 이상 과거의 범항이 아니며, 강호의 모든 사람들이 그를 주목하게 됩니다. 범항이 환혼 후 보여주는 놀라운 변화는 천화서고 내부를 뒤흔듭니다. 늘 무시하고 멸시하던 대공자의 달라진 모습에 가족들은 당황하고, 천화서고 내의 세력 구도에도 균열이 생깁니다. 동시에 그의 비범한 행보와 전에 없던 무공 실력은 강호 전체에 빠르게 소문이 퍼지면서 수많은 이들의 호기심과 경계심을 불러일으킵니다. 후공은 범항의 몸으로 살아가면서 이전과는 다른 삶을 경험하게 됩니다. 그는 과거 무림맹주로서의 책임감과 권능을 내려놓고, 범항이라는 새로운 이름으로 새로운 관계들을 맺어나갑니다. 하지만 한편으로는 환혼이라는 기이한 현상과 범항의 삶에 얽힌 비밀, 그리고 무림맹주로서 그가 해결하지 못했던 과거의 일들이 얽히면서 깊은 고뇌에 빠지기도 합니다."
일타강사 백사부,"주인공 단유강은 과거 무림을 피로 물들였던 사파의 거대한 세력, 혈교의 최고 무공 교관 '백사부'였습니다. 그는 내공이 없는 몸임에도 무공 지식으로 혈교의 무인들을 최강으로 길러냈으나, 혈교의 멸망을 꿈꾸는 남자였습니다. 4명의 고수를 연구하는 일을 맡으며 그들을 회유해 같이 혈교를 무너뜨릴 계획을 세웁니다. 그러나 그 계획에서 모두 사망하는 결과를 맞이합니다. 하지만 그는 기적적으로 살아남아 먼 훗날, 정파 무림의 변방에 위치한 허름한 '백무관'의 사부 '백수룡'의 몸으로 환생하게 됩니다. 문제는 백수룡의 몸이 심각한 단전 손상으로 내공을 전혀 사용할 수 없는 상태라는 점입니다. 혈교 시절과 같은 몸을 가진것에 절망감을 느끼지만 이내 자신의 단전을 회복하기 위한 연구를 다시 실현할 기회라 생각합니다. 또한 자신의 강점인 '무공에 대한 해박한 지식과 통찰력'을 활용하기로 결심합니다. 그는 백무관에 들어온 제자들을 가르치며 '일타강사'로서의 새로운 삶을 시작합니다. 단순히 무공을 가르치는 것을 넘어, 제자들의 잠재력을 끌어내고 그들이 각자의 길에서 최고가 될 수 있도록 돕습니다. 기성 무림의 고정관념에서 벗어나 창의적이고 효율적인 교육 방식을 선보이며, 제자들을 점차 강하게 성장시킵니다. 이야기는 백사부와 그의 개성 넘치는 제자들이 함께 성장하며 겪는 다양한 사건들을 중심으로 전개됩니다. 처음에는 꼴찌무관에 불과했던 무관을 천하제일대회에서 제주들이 백사부의 가르침 아래 점차 명성을 얻고, 그의 제자들은 각자의 재능을 꽃피우며 무림에 큰 영향을 미치게 됩니다. 백사부는 내공 없는 몸으로도 전략과 지략, 그리고 과거의 경험을 바탕으로 위기를 헤쳐나가며 무림의 크고 작은 문제들을 해결합니다."
권왕환생,"권왕 단우성이 갑작스레 죽음을 맞이한 후, 돈 많은 은하상단의 병약한 대공자 '이진언'의 몸으로 환생하게 됩니다. 가진 것이라고는 돈밖에 없는 몸이지만, 압도적인 재력과 전생의 무공을 발판 삼아 다시 수련을 시작하고, 무공을 회복하여 복수에 나서는 이야기입니다. 전생에는 독불장군형 권왕이었지만, 환생하면서 사람들과 관계를 맺으며 더욱 강해져 무신의 경지에 이른다고 합니다."
판사 이한영,"이한영은 촉망받던 젊은 판사로, 오직 법과 양심에 따라 정의를 추구하며 불의와 타협하지 않습니다. 그러던 어느 날, 그는 대한민국을 뒤흔드는 거대한 비리 사건을 파헤치다 거대 권력의 표적이 됩니다. 결국, 이한영은 살해당하고 그의 삶은 비극적으로 막을 내립니다. 하지만 이한영은 죽음과 동시에 과거로 회귀합니다. 놀랍게도 그는 죽기 직전의 모든 기억과 경험, 그리고 재판 지식까지 그대로 간직한 채 다시 깨어납니다. 이한영은 이 기회를 통해 과거의 실수를 바로잡고, 첫 번째 삶에서 그를 죽음으로 몰아넣었던 거대한 악의 세력에 맞서기로 결심합니다. 그는 자신의 회귀 능력을 활용하여 미래를 예측하고, 과거의 사건들을 새로운 시각으로 바라보며 더 현명하게 대처합니다. 두 번째 삶의 이한영은 단순히 복수를 넘어, 진정한 의미의 정의를 실현하기 위해 노력합니다. 그는 부패한 권력자들과 악덕 기업들, 그리고 법망을 교묘하게 피하는 범죄자들을 상대로 치열한 법정 싸움을 벌입니다. 이전에는 몰랐던 증거들을 찾아내고, 상대방의 허점을 찔러 진실을 밝혀내며 통쾌한 판결을 이끌어냅니다. 이 과정에서 그는 다양한 사람들과 엮이며, 때로는 그들의 도움을 받고 때로는 그들에게 영향을 주면서 성장해 나갑니다."
속아주고싶어,"자발적 아싸이자 대학생인 주인공 도수정과 미스터리하고 매력적인 복학생 차승현의 아슬아슬한 관계를 그린 캠퍼스 로맨스 웹툰입니다. 수정은 과거의 경험으로 인해 사람들과 깊은 관계를 맺지 않으려 하는 인물입니다. 혼자만의 시간을 즐기며 타인에게 무관심한 듯 보이지만, 사실은 내면의 상처를 숨기고 있죠. 그런 수정의 평화로운 일상에 갑자기 차승현이라는 인물이 나타납니다. 승현은 잘생긴 외모와 능글맞은 성격으로 주변 사람들의 이목을 끄는 인물이지만, 어딘가 비밀스러운 분위기를 풍깁니다. 그는 수정에게 의도적으로 접근하며, 수정은 처음에는 그를 경계하고 밀어내지만, 점차 승현의 알 수 없는 매력에 이끌리게 됩니다. 웹툰은 수정이 승현에게 속아 넘어가고 싶으면서도, 동시에 그를 믿을 수 없어 갈등하는 모습을 중심으로 전개됩니다. 승현 역시 수정에게 본심을 쉽게 드러내지 않아 독자들에게 궁금증을 유발하죠. 서로에게 속아주고 싶으면서도 진심을 원하는 두 사람의 복잡한 감정과 미묘한 심리 싸움이 이 웹툰의 핵심 재미 요소입니다. 이 과정에서 수정은 승현을 통해 스스로를 돌아보고, 점차 마음의 문을 열며 성장해 나갑니다. 승현 또한 수정과의 관계를 통해 변화하는 모습을 보여주며, 두 사람의 관계는 단순히 연애를 넘어 서로에게 깊은 영향을 미치는 관계로 발전합니다."
소년교도소,"'소년교도소'는 주인공 차주영이 소년교도소에 수감되면서 벌어지는 복수극을 다룹니다. 차주영은 폭력 조직의 보스인 차 회장의 아들로, 자신의 손으로 아버지를 식물인간으로 만들어 버린 죄로 소년교도소에 들어오게 됩니다. 교도소 생활은 순탄치 않습니다. 주영은 감옥 안에서 각종 부당한 대우와 폭력에 시달리며 힘겨운 시간을 보냅니다. 그러던 어느 날, 기적적으로 차 회장이 깨어났다는 소식이 전해집니다. 하지만 이 소식은 주영에게 기쁨보다는 충격을 안겨줍니다. 깨어난 차 회장이 주영의 유일한 친구이자 소중한 존재였던 연서를 죽였다고 밝히기 때문입니다. 연서의 죽음이 아버지 때문이라는 사실을 알게 된 주영은 엄청난 분노와 함께 복수를 다짐합니다. 그는 아버지에게 직접 복수하기 위해 교도소 안에서 막강한 힘을 키우기로 결심합니다. 주영은 자신을 억압하는 교도소의 시스템과 그 안의 폭력적인 세력들을 하나씩 제압하며 교도소의 왕이 되기 위한 싸움을 시작합니다. 웹툰은 주영이 교도소 내에서 펼치는 치열한 권력 다툼과 복수를 향한 그의 잔혹한 여정을 상세하게 그려냅니다. 과연 주영은 교도소를 장악하고 아버지에게 복수할 수 있을까요? 그리고 연서의 죽음에 얽힌 숨겨진 진실은 무엇일까요?"
고대동물기,"고대동물기'는 세상으로부터 버림받아 늙고 병든 티라노사우루스인 주인공이 죽음을 앞두고 새로운 꿈을 꾸게 되면서 벌어지는 이야기입니다. 이 웹툰은 단순한 공룡 이야기가 아니라, 죽음을 향해가는 존재들이 삶의 마지막에서 발견하는 희망과 의미를 깊이 있게 다룹니다. 주인공 티라노는 과거의 영광은 뒤로한 채, 육체적으로나 정신적으로나 쇠락한 상태로 살아갑니다. 하지만 어느 날, 우연한 계기로 그는 더 이상 살 이유가 없다고 생각했던 자신에게 새로운 목표가 생겼음을 깨닫게 됩니다. 이 목표는 때로는 다른 고대 동물들과의 만남을 통해, 때로는 과거의 기억을 되짚으며 구체화됩니다. 웹툰은 각 에피소드마다 티라노의 여정을 중심으로 다른 고대 생명체들의 이야기도 함께 풀어냅니다. 이들은 각자의 사연과 고난을 가지고 있으며, 티라노와 교류하면서 서로에게 영향을 주고받습니다. 공룡뿐만 아니라 다양한 고대 포유류, 해양 생물 등 고대 지구에 살았던 신비로운 존재들이 등장하여, 독자들에게 잊혀진 생명들의 생생한 드라마를 선사합니다. 작품의 전반적인 분위기는 감성적이고 서정적입니다. 단순한 생존 경쟁을 넘어, 죽음, 상실, 희망, 그리고 관계의 소중함과 같은 보편적인 주제들을 고대 동물들의 시점에서 깊이 있게 탐구합니다. 각 인물들의 내면 심리를 섬세하게 묘사하며, 독자들에게 깊은 공감과 여운을 남깁니다."
아카데미의 천재칼잡이,"이야기는 세계가 멸망한 후부터 시작됩니다. 멸망의 원인은 '마족'이나 '괴수'가 아닌, 바로 인류 내부의 갈등과 배신 때문이었습니다. 주인공 로난은 이 끔찍한 멸망의 순간을 직접 겪으며 깊은 후회와 좌절에 빠집니다. 그는 세상을 구하기 위해 온갖 노력을 했지만, 결국 실패하고 모든 것을 잃게 됩니다. 하지만 기적처럼 그에게 두 번째 기회가 찾아옵니다. 로난은 과거로 회귀하여 아카데미에 입학했던 시점으로 돌아오게 됩니다. 모든 것이 되돌려진 상황에서, 그는 과거의 실수를 반복하지 않고 미래의 멸망을 막기 위한 계획을 세웁니다. 회귀 후 로난은 과거에 자신이 미처 알지 못했거나 중요하게 여기지 않았던 정보들을 적극적으로 활용합니다. 아카데미에서 그는 자신의 능력을 갈고닦고, 미래에 중요한 역할을 할 동료들을 미리 찾아내어 인연을 맺고 성장시킵니다. 특히, 그는 ""검""에 대한 천재적인 재능을 바탕으로 아카데미에서 두각을 나타내며, 단순한 강함을 넘어선 진정한 검의 의미를 탐구하게 됩니다. 이야기가 진행될수록 로난은 세계 멸망을 불러온 진정한 배후와 숨겨진 음모에 점차 다가서게 됩니다. 과거의 기억을 통해 미래를 예견하고 대비하지만, 미래는 언제나 예상치 못한 변수를 만들어내며 로난을 시험합니다. 그는 동료들과 함께 다가올 위협에 맞서 싸우고, 점차 강력해지는 적들과 맞서는 과정에서 자신의 한계를 뛰어넘어 성장합니다."
